City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bamboo flat,11.7,92.7167,26.05,94,75,1.03,IN,1727209475
1,saipan,15.1355,145.701,27.39,94,75,3.09,MP,1727209446
2,adamstown,-25.066,-130.1015,19.5,69,85,6.25,PN,1727209477
3,luanda,-8.8368,13.2343,23.0,78,20,4.63,AO,1727209479
4,whitehorse,60.7161,-135.0538,9.43,66,100,8.23,CA,1727209480
5,yellowknife,62.456,-114.3525,9.12,92,100,4.12,CA,1727209481
6,coahuayana de hidalgo,18.7,-103.6583,31.61,67,85,2.65,MX,1727209482
7,edinburgh of the seven seas,-37.0676,-12.3116,11.86,76,11,4.0,SH,1727209483
8,olenegorsk,68.15,33.3,6.02,94,100,2.63,RU,1727209485
9,vorgashor,67.5833,63.95,0.04,88,99,11.2,RU,1727209486
10,ribeira grande,38.5167,-28.7,24.32,88,75,8.75,PT,1727209488
11,kingston,17.997,-76.7936,31.53,84,75,8.23,JM,1727209258
12,blackmans bay,-43.0167,147.3167,9.07,64,83,0.45,AU,1727209491
13,crane,31.3974,-102.3501,31.28,38,1,4.37,US,1727209492
14,manta,-0.95,-80.7333,27.88,65,20,4.12,EC,1727209493
15,papatowai,-46.5619,169.4708,7.24,73,90,4.19,NZ,1727209494
16,jamestown,42.097,-79.2353,16.68,92,100,3.6,US,1727209496
17,kigoma,-4.8769,29.6267,23.33,60,0,2.06,TZ,1727209497
18,lakatoro,-16.0999,167.4164,25.16,81,100,3.55,VU,1727209498
19,talnakh,69.4865,88.3972,3.39,87,77,2.69,RU,1727209499
20,hamilton,39.1834,-84.5333,24.38,91,75,5.14,US,1727209330
21,polyarnyy,69.1989,33.4478,7.31,87,100,8.91,RU,1727209502
22,igarka,67.4667,86.5833,1.83,97,100,5.56,RU,1727209503
23,puerto natales,-51.7236,-72.4875,3.25,60,75,8.75,CL,1727209504
24,vadso,70.0744,29.7487,9.09,87,75,8.23,NO,1727209506
25,grytviken,-54.2811,-36.5092,-0.87,68,45,3.67,GS,1727209507
26,ushuaia,-54.8,-68.3,-1.19,86,100,9.77,AR,1727209445
27,stanley,54.868,-1.6985,9.04,91,40,3.6,GB,1727209509
28,birjand,32.8663,59.2211,19.26,13,0,3.09,IR,1727209510
29,waitangi,-43.9535,-176.5597,7.12,86,22,4.92,NZ,1727209512
30,la passe,45.5549,-0.8967,16.5,92,0,4.47,FR,1727209513
31,west island,-12.1568,96.8225,25.99,94,75,6.17,CC,1727209514
32,santa terezinha,-29.9002,-50.0904,19.21,92,44,3.85,BR,1727209515
33,carnarvon,-24.8667,113.6333,18.22,65,0,8.83,AU,1727209517
34,taguatinga,-12.3857,-46.5711,38.11,11,6,2.53,BR,1727209518
35,bilibino,68.0546,166.4372,-2.75,90,97,1.08,RU,1727209519
36,tremonton,41.7119,-112.1655,25.9,29,0,2.68,US,1727209520
37,hawaiian paradise park,19.5933,-154.9731,27.72,73,100,1.54,US,1727209522
38,san mariano,7.5,126.0,22.3,95,100,1.03,PH,1727209523
39,bethel,41.3712,-73.414,19.21,70,75,0.45,US,1727209524
40,sisimiut,66.9395,-53.6735,7.37,67,87,0.69,GL,1727209525
41,bredasdorp,-34.5322,20.0403,12.67,93,100,0.82,ZA,1727209526
42,east london,-33.0153,27.9116,20.51,77,54,7.75,ZA,1727209528
43,klyuchi,52.2667,79.1667,4.68,68,7,2.98,RU,1727209529
44,qaqortoq,60.7167,-46.0333,4.63,92,33,1.88,GL,1727209530
45,pacific grove,36.6177,-121.9166,23.01,89,51,2.68,US,1727209531
46,port-aux-francais,-49.35,70.2167,2.44,68,7,14.29,TF,1727209532
47,ust-nera,64.5667,143.2,-2.75,86,100,3.64,RU,1727209534
48,olonkinbyen,70.9221,-8.7187,1.88,75,28,6.35,SJ,1727209535
49,mount isa,-20.7333,139.5,16.87,55,4,0.0,AU,1727209537
50,tralee,52.2704,-9.7026,10.83,88,100,1.33,IE,1727209538
51,wailua homesteads,22.0669,-159.378,27.44,74,20,6.69,US,1727209540
52,soto la marina,23.7667,-98.2167,35.01,37,1,2.87,MX,1727209541
53,ibiza,38.9088,1.433,23.29,84,20,3.09,ES,1727209207
54,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,71,0,2.0,RU,1727209543
55,college,64.8569,-147.8028,7.97,66,100,1.54,US,1727209544
56,petropavlovka,50.6114,105.3196,8.37,71,37,0.78,RU,1727209546
57,punta arenas,-53.15,-70.9167,1.06,93,75,13.89,CL,1727209311
58,antofagasta,-23.65,-70.4,16.6,82,51,4.25,CL,1727209461
59,grand baie,-20.0182,57.5802,21.92,78,0,1.34,MU,1727209549
60,tiksi,71.6872,128.8694,-0.36,95,100,6.52,RU,1727209550
61,sainte-adresse,49.5089,0.0845,15.24,88,100,5.66,FR,1727209552
62,margaret river,-33.95,115.0667,6.26,81,4,3.72,AU,1727209553
63,avarua,-21.2078,-159.775,24.03,94,75,4.12,CK,1727209554
64,nagqu,31.5,92.0,0.64,71,84,1.19,CN,1727209555
65,kharan,28.5833,65.4167,30.89,13,69,1.12,PK,1727209557
66,lodwar,3.1191,35.5973,30.49,35,19,4.92,KE,1727209558
67,invercargill,-46.4,168.35,6.12,83,100,2.68,NZ,1727209559
68,gao,16.6362,1.637,34.83,32,11,3.86,ML,1727209560
69,thompson,55.7435,-97.8558,12.09,100,100,3.09,CA,1727209561
70,port mathurin,-19.6833,63.4167,22.27,80,20,9.43,MU,1727209563
71,palmeira,-25.4294,-50.0064,29.63,41,0,0.67,BR,1727209564
72,puerto ayora,-0.7393,-90.3518,20.86,92,96,3.13,EC,1727209565
73,carutapera,-1.195,-46.02,27.44,72,47,5.43,BR,1727209566
74,cabo san lucas,22.8909,-109.9124,34.17,46,0,4.63,MX,1727209489
75,manismata,-2.4667,111.0333,24.47,96,100,0.49,ID,1727209569
76,colonia,50.9333,6.95,16.18,88,100,2.57,DE,1727209443
77,ulaangom,49.9811,92.0667,9.27,39,68,1.83,MN,1727209571
78,bodo,67.28,14.405,8.21,73,75,4.63,NO,1727209572
79,remire-montjoly,4.9167,-52.2667,31.02,70,0,5.14,GF,1727209573
80,albany,42.6001,-73.9662,20.88,58,40,0.89,US,1727209529
81,puerto baquerizo moreno,-0.9,-89.6,23.55,69,40,7.2,EC,1727209576
82,aasiaat,68.7098,-52.8699,3.49,76,67,1.76,GL,1727209577
83,port augusta,-32.5,137.7667,13.2,93,56,4.05,AU,1727209569
84,archangelos,36.2149,28.1149,21.99,74,0,2.38,GR,1727209580
85,happy valley-goose bay,53.3168,-60.3315,15.17,47,75,1.54,CA,1727209581
86,akureyri,65.6835,-18.0878,1.96,87,100,7.2,IS,1727209582
87,rouyn-noranda,48.2398,-79.0288,17.05,82,100,3.09,CA,1727209583
88,richards bay,-28.783,32.0377,20.17,70,8,6.93,ZA,1727209584
89,pleiku,13.9833,108.0,19.98,98,100,0.78,VN,1727209586
90,asau,46.4333,26.4,14.78,56,99,1.72,RO,1727209587
91,al jawf,29.5,38.75,26.48,32,0,4.71,SA,1727209588
92,chancay,-11.5714,-77.2672,19.01,78,37,3.98,PE,1727209589
93,ilulissat,69.2167,-51.1,7.01,61,94,0.0,GL,1727209590
94,flying fish cove,-10.4217,105.6791,24.82,94,75,3.09,CX,1727209592
95,gadani,25.1185,66.7299,27.28,82,88,5.19,PK,1727209593
96,berdigestyakh,62.0989,126.6992,4.19,91,98,2.32,RU,1727209594
97,bogale,16.2833,95.4,24.06,96,100,2.08,MM,1727209595
98,keflavik,64.0049,-22.5624,5.24,75,0,4.12,IS,1727209596
99,dwarka,22.2394,68.9678,27.45,78,45,5.74,IN,1727209598
100,sinabang,2.4803,96.3801,26.55,83,100,1.09,ID,1727209599
101,gadzhiyevo,69.2551,33.3362,7.39,87,100,8.52,RU,1727209600
102,khandyga,62.6667,135.6,0.78,83,100,1.66,RU,1727209601
103,salina cruz,16.1667,-95.2,26.25,81,100,1.63,MX,1727209602
104,monrovia,6.3005,-10.7969,23.99,95,100,4.04,LR,1727209604
105,codrington,-38.2667,141.9667,10.5,88,100,5.86,AU,1727209605
106,sungai raya,0.7,108.9,26.49,84,100,1.69,ID,1727209606
107,nova sintra,14.8667,-24.7167,27.42,83,100,6.68,CV,1727209607
108,port alfred,-33.5906,26.891,18.43,90,92,2.68,ZA,1727209608
109,newnham,-41.3833,147.1333,11.53,93,100,3.6,AU,1727209609
110,kalabo,-14.97,22.6814,23.13,20,5,3.67,ZM,1727209611
111,tazovsky,67.4667,78.7,3.59,95,100,4.92,RU,1727209612
112,st. john's,47.5649,-52.7093,11.65,90,100,8.49,CA,1727209436
113,udachny,66.4167,112.4,5.41,79,84,7.16,RU,1727209614
114,cameron,26.117,-97.5169,32.22,82,40,3.6,US,1727209615
115,port-vila,-17.7338,168.3219,23.78,88,75,3.09,VU,1727209617
116,jiangyou,31.7667,104.7167,23.26,77,100,1.42,CN,1727209618
117,afaahiti,-17.75,-149.2833,24.69,79,76,2.7,PF,1727209619
118,novoshakhtinskiy,44.025,132.1514,12.7,84,95,3.47,RU,1727209620
119,lebu,-37.6167,-73.65,11.32,69,11,3.51,CL,1727209621
120,port elizabeth,-33.918,25.5701,17.4,95,75,7.72,ZA,1727209623
121,hermanus,-34.4187,19.2345,11.56,88,100,2.72,ZA,1727209624
122,tsiombe,-25.3,45.4833,20.07,88,30,5.48,MG,1727209625
123,st. paul,44.9444,-93.0933,24.2,54,20,2.06,US,1727209599
124,vilyuysk,63.7553,121.6247,6.9,92,100,3.38,RU,1727209627
125,lepsy,46.235,78.9456,15.14,51,94,4.0,KZ,1727209629
126,bhakkar,31.6253,71.0657,34.11,26,24,3.68,PK,1727209630
127,as samawah,31.332,45.2944,33.81,23,0,6.9,IQ,1727209631
128,luza,60.6308,47.2512,4.21,79,69,1.8,RU,1727209632
129,ulladulla,-35.35,150.4667,19.23,42,100,3.55,AU,1727209633
130,wanning,18.8003,110.3967,24.34,93,83,0.78,CN,1727209635
131,krylovskaya,46.3194,39.9711,16.63,41,100,4.09,RU,1727209636
132,nar'yan-mar,67.6713,53.087,-0.76,78,14,2.71,RU,1727209637
133,poletayevo,55.0336,61.1138,2.75,73,50,3.07,RU,1727209638
134,longyearbyen,78.2186,15.6401,-4.09,80,20,1.54,SJ,1727209640
135,kimbe,-5.5502,150.1429,24.04,92,35,1.98,PG,1727209641
136,chonchi,-42.6128,-73.8092,9.51,59,36,3.39,CL,1727209642
137,tabou,4.423,-7.3528,24.63,91,87,4.21,CI,1727209643
138,grand-lahou,5.1367,-5.0242,23.95,93,7,2.73,CI,1727209645
139,porto novo,6.4965,2.6036,26.9,88,79,3.38,BJ,1727209646
140,villa gesell,-37.2639,-56.973,13.09,65,100,5.41,AR,1727209647
141,pemangkat,1.1667,108.9667,27.75,73,97,1.23,ID,1727209648
142,quellon,-43.1167,-73.6167,8.15,64,73,5.34,CL,1727209649
143,acarau,-2.8856,-40.12,26.47,75,4,9.07,BR,1727209651
144,kambove,-10.8764,26.5969,22.12,37,71,2.01,CD,1727209652
145,ghat,24.9647,10.1728,34.63,20,3,3.89,LY,1727209653
146,santiago juxtlahuaca,17.3333,-98.0167,15.81,95,100,1.34,MX,1727209654
147,dudinka,69.4058,86.1778,4.15,85,84,5.54,RU,1727209655
148,as sulayyil,20.4607,45.5779,31.82,13,1,3.92,SA,1727209657
149,rio negro,-26.1058,-49.7975,27.65,51,0,1.2,BR,1727209475
150,genhe,50.7833,121.5167,4.48,96,0,1.53,CN,1727209659
151,kodiak,57.79,-152.4072,9.73,66,100,4.12,US,1727209660
152,nemuro,43.3236,145.575,13.19,75,15,4.81,JP,1727209661
153,tosontsengel,48.7567,98.2839,4.9,52,83,0.41,MN,1727209664
154,reggane,26.7158,0.1714,32.4,36,100,5.9,DZ,1727209665
155,hammerfest,70.6634,23.6821,6.25,93,75,4.12,NO,1727209667
156,nouadhibou,20.931,-17.0347,29.99,48,33,6.17,MR,1727209668
157,tres isletas,-26.3407,-60.4321,35.96,28,0,3.42,AR,1727209669
158,iqaluit,63.7506,-68.5145,7.85,75,40,5.14,CA,1727209670
159,bria,6.5423,21.9863,21.49,97,100,1.04,CF,1727209672
160,enshi,30.3,109.4833,18.67,89,94,0.37,CN,1727209673
161,neiafu,-18.65,-173.9833,25.38,69,40,4.12,TO,1727209674
162,port lincoln,-34.7333,135.8667,12.79,94,88,2.77,AU,1727209675
163,ketchikan,55.3422,-131.6461,14.26,82,75,2.06,US,1727209676
164,hami,42.8,93.45,20.69,25,84,4.2,CN,1727209678
165,beloyarskiy,63.7119,66.6722,1.6,67,96,7.0,RU,1727209679
166,hotan,37.0997,79.9269,23.53,20,0,0.85,CN,1727209680
167,umba,66.6871,34.3429,7.83,89,100,5.24,RU,1727209681
168,kapa'a,22.0752,-159.319,28.18,70,20,6.69,US,1727209682
169,okha,53.5739,142.9478,8.12,83,92,1.54,RU,1727209684
170,yambio,4.5721,28.3955,21.18,95,100,0.59,SS,1727209685
171,yayva,59.3303,57.2641,1.53,76,40,2.26,RU,1727209686
172,pisco,-13.7,-76.2167,19.03,77,0,4.12,PE,1727209687
173,sur,22.5667,59.5289,29.98,57,100,3.87,OM,1727209688
174,san patricio,28.017,-97.5169,25.97,49,81,5.73,US,1727209690
175,armacao de buzios,-22.7469,-41.8817,25.09,83,0,10.93,BR,1727209447
176,brookings,44.3114,-96.7984,22.25,53,99,0.89,US,1727209692
177,dakhla,23.6848,-15.958,22.01,78,2,10.8,EH,1727209573
178,vilyuchinsk,52.9306,158.4028,9.15,82,100,3.39,RU,1727209694
179,cozumel,20.5083,-86.9458,28.04,94,100,5.14,MX,1727209695
180,kapuskasing,49.4169,-82.4331,13.05,82,100,3.09,CA,1727209682
181,juan de ayolas,-27.4,-56.9,39.63,21,8,3.35,PY,1727209650
182,ancud,-41.8697,-73.8203,8.55,63,75,5.5,CL,1727209700
183,rahimah,26.7079,50.0619,32.95,47,0,3.12,SA,1727209701
184,sao joao da barra,-21.6403,-41.0511,26.05,82,0,8.93,BR,1727209499
185,sumbawa besar,-8.5,117.4333,22.75,93,8,1.66,ID,1727209704
186,naze,28.3667,129.4833,25.51,89,100,4.13,JP,1727209705
187,anadyr,64.75,177.4833,7.28,70,20,1.0,RU,1727209706
188,souillac,-20.5167,57.5167,22.21,78,20,3.6,MU,1727209707
189,bocas del toro,9.3333,-82.25,29.16,74,75,3.18,PA,1727209709
190,sirohi,24.8833,72.8667,27.83,66,14,1.59,IN,1727209710
191,morehead city,34.7229,-76.726,27.0,72,20,3.6,US,1727209588
192,lhasa,29.65,91.1,10.97,73,100,2.01,CN,1727209712
193,fale old settlement,-9.3852,-171.2468,28.31,79,22,5.51,TK,1727209713
194,isafjordur,66.0755,-23.124,0.24,86,90,6.11,IS,1727209715
195,cruzeiro do sul,-29.5128,-51.9853,28.37,70,9,3.09,BR,1727209716
196,balabac,7.9868,117.0645,27.05,83,65,2.54,PH,1727209717
197,dongola,19.1667,30.4833,32.9,22,0,4.92,SD,1727209718
198,callao,-12.0667,-77.15,23.73,77,100,5.14,PE,1727209720
199,salekhard,66.53,66.6019,1.61,69,85,7.87,RU,1727209721
200,geraldton,-28.7667,114.6,9.23,93,0,2.57,AU,1727209722
201,badger,64.8,-147.5333,7.93,70,100,1.54,US,1727209723
202,arish,31.1316,33.7984,25.31,66,0,4.56,EG,1727209725
203,markovo,57.3206,107.0881,8.24,94,100,1.04,RU,1727209726
204,sorab,14.3833,75.1,21.65,98,100,3.64,IN,1727209727
205,port saint john's,-31.6229,29.5448,21.47,75,33,4.1,ZA,1727209728
206,saint-francois,46.4154,3.9054,14.8,83,0,2.06,FR,1727209729
207,uturoa,-16.7333,-151.4333,26.32,77,96,4.46,PF,1727209731
208,longgang,37.6508,120.3286,19.47,83,1,3.38,CN,1727209733
209,lorengau,-2.0226,147.2712,27.15,80,99,4.4,PG,1727209736
210,constanta,44.1833,28.65,16.5,75,21,3.41,RO,1727209737
211,sovetskiy,61.3614,63.5842,1.24,77,9,5.34,RU,1727209738
212,lastoursville,-0.8143,12.7287,23.51,87,100,0.62,GA,1727209740
213,alotau,-10.3069,150.4462,23.78,94,83,1.48,PG,1727209741
214,namibe,-15.1961,12.1522,18.93,83,95,1.79,AO,1727209742
215,aginskoye,51.1,114.53,6.57,62,5,1.1,RU,1727209743
216,iskateley,67.6803,53.1512,-0.82,78,16,2.63,RU,1727209746
217,georgetown,5.4112,100.3354,25.96,87,20,1.03,MY,1727209747
218,agadez,19.75,10.25,36.49,15,59,3.25,NE,1727209749
219,temnikov,54.6302,43.2148,9.96,39,100,2.51,RU,1727209751
220,arkhangel'sk,64.5401,40.5433,7.06,76,40,3.0,RU,1727209453
221,prien,30.1819,-93.2738,33.01,54,0,2.57,US,1727209753
222,portland,45.5234,-122.6762,31.3,53,9,0.89,US,1727209662
223,pathein,16.7833,94.7333,23.95,98,100,2.54,MM,1727209755
224,sinop,41.7711,34.8709,14.42,84,3,2.08,TR,1727209758
225,howard springs,-12.497,131.047,24.95,84,22,1.14,AU,1727209759
226,kununurra,-15.7667,128.7333,22.99,94,0,0.51,AU,1727209763
227,papao,-17.75,-149.55,28.82,74,24,1.62,PF,1727209764
228,nangwa,-4.4667,35.45,15.09,69,52,3.34,TZ,1727209765
229,la'ie,21.6477,-157.9253,28.66,72,96,4.47,US,1727209767
230,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,25.25,41,28,8.69,MX,1727209768
231,letlhakeng,-24.0944,25.0298,22.97,38,100,2.82,BW,1727209769
232,lalsot,26.5667,76.3333,28.98,65,6,1.49,IN,1727209770
233,nunkini,20.3333,-90.1833,36.89,35,23,3.61,MX,1727209771
234,qarazhal,48.0078,70.7903,9.44,35,100,4.5,KZ,1727209773
235,edd,13.9297,41.6925,31.1,71,11,3.37,ER,1727209774
236,luderitz,-26.6481,15.1594,14.27,76,2,1.82,NA,1727209775
237,karratha,-20.7377,116.8463,23.5,75,0,2.29,AU,1727209776
238,suihua,46.6406,126.9969,12.68,88,100,3.63,CN,1727209777
239,kavaratti,10.5669,72.642,27.23,84,100,8.36,IN,1727209778
240,urzhar,47.093,81.6294,13.38,40,9,2.41,KZ,1727209780
241,constantia,44.1833,28.65,16.5,75,21,3.41,RO,1727209781
242,ambon,-3.6954,128.1814,25.49,95,40,3.6,ID,1727209782
243,yuzhno-kurilsk,44.0306,145.8556,11.75,81,5,4.26,RU,1727209783
244,hithadhoo,-0.6,73.0833,28.23,74,71,5.63,MV,1727209784
245,shimoda,34.6667,138.95,18.73,82,54,8.79,JP,1727209786
246,amlapura,-8.45,115.6167,23.09,89,34,1.95,ID,1727209787
247,rikaze,29.25,88.8833,10.7,63,99,1.58,CN,1727209788
248,guatire,10.4762,-66.5427,26.79,81,100,1.45,VE,1727209791
249,susuman,62.7833,148.1667,-3.6,67,28,1.92,RU,1727209792
250,zhumysker,49.3333,49.4,11.9,34,77,5.54,KZ,1727209793
251,haiku-pauwela,20.9219,-156.3051,28.47,69,22,11.18,US,1727209796
252,novyy urgal,51.0736,132.5642,9.44,88,100,2.41,RU,1727209797
253,myrina,39.8797,25.0742,15.58,63,0,0.0,GR,1727209798
254,lagoa,39.05,-27.9833,22.71,90,100,13.71,PT,1727209800
255,tommot,58.9564,126.2925,3.65,94,22,1.17,RU,1727209801
256,alexandria,31.2156,29.9553,24.64,63,0,3.72,EG,1727209802
257,port blair,11.6667,92.75,26.02,94,75,1.03,IN,1727209803
258,aykhal,66.0,111.5,2.52,88,65,6.04,RU,1727209805
259,viveiro,43.6623,-7.5934,16.8,82,100,2.75,ES,1727209806
260,abepura,-2.6333,140.5833,24.45,94,40,0.51,ID,1727209807
261,weiser,44.251,-116.9693,29.62,32,6,2.68,US,1727209808
262,basco,20.4487,121.9702,28.62,77,100,0.4,PH,1727209810
263,calatayud,41.3535,-1.6432,18.46,46,96,4.67,ES,1727209811
264,abaete,-19.16,-45.4458,30.17,24,1,1.7,BR,1727209812
265,fort mcmurray,56.7268,-111.381,22.77,37,100,8.75,CA,1727209526
266,scituate,42.1959,-70.7259,17.49,85,75,4.63,US,1727209814
267,san luis de la loma,17.2706,-100.8939,27.24,77,100,1.52,MX,1727209815
268,ararat,39.8317,44.7049,20.48,35,94,1.41,AM,1727209817
269,okhotsk,59.3833,143.3,3.75,44,41,2.63,RU,1727209818
270,kuta,-8.7233,115.1723,24.97,94,20,1.03,ID,1727209819
271,antalaha,-14.9003,50.2788,22.71,70,58,3.16,MG,1727209820
272,shibukawa,36.4833,139.0,15.03,86,100,0.89,JP,1727209823
273,assab,13.0092,42.7394,31.0,77,42,6.76,ER,1727209824
274,moose jaw,50.4001,-105.5344,27.15,26,20,6.69,CA,1727209825
275,jose maria morelos,30.8066,-112.684,38.46,17,0,4.23,MX,1727209827
276,saynshand,44.8824,110.1163,11.67,67,1,1.26,MN,1727209828
277,salalah,17.0151,54.0924,25.72,79,12,1.26,OM,1727209829
278,weno,7.4515,151.8468,27.97,83,100,4.12,FM,1727209830
279,ad dabbah,18.05,30.95,34.01,21,0,6.6,SD,1727209831
280,demre,36.2537,29.9777,19.98,61,0,1.76,TR,1727209832
281,sumbe,-11.2061,13.8437,22.17,87,99,4.66,AO,1727209834
282,minas de marcona,-15.2119,-75.1103,15.07,65,0,8.36,PE,1727209835
283,gobabis,-22.45,18.9667,20.67,37,97,0.97,NA,1727209836
284,mogocha,53.7333,119.7667,4.36,89,3,0.41,RU,1727209837
